id	text
000s0101@ent_10_1	看起来可能不怎么样，<br>但有正常营业喔！
000s0101@ent_10_2	正好刚进了<br>一大批新商品！
000s0101@s1o_20_1	咳咳，好。反正也收了你的钱，<br>你就挑一个吧！
000s0101@s1o_30_1	每款药水的功效可能有点不同，<br>但不是诈骗！
000s0101@s1o_40	队伍从箱子里拿起一瓶药水。
000s0101@s1o_60_1	下次再见面的话，还要跟我买唷！<br>告辞！
000s0101@s2o_20_1	咳咳，好。反正也收了你的钱，<br>你就挑一个吧！
000s0101@s2o_30_1	我可不碰便宜货！
000s0101@s2o_40	队伍从箱子里拿起一件装备。
000s0101@s2o_60_1	下次再见面的话，还要跟我买唷！<br>告辞！
000s0101@s3o_10_1	这是……
000s0101@s3o_10_2	看来是个<br>很好沟通的客人呢？
000s0101@s3o_20_1	正好有为VIP<br>准备的商品呢。
000s0101@s3o_20_2	那么，先付订金……
000s0101@s4o_10_1	啊啊！！！<br>强盗，有强盗！！！
000s0101@s4o_20_1	呵呵，没错。<br>你的眼睛还真利。
000s0101@s4o_30	杂货商人慌张地逃跑了。
000s0101@s4o_40	队伍从箱子里拿起技能书。
000s0101@s4o_60_1	下次再见面的话，还要跟我买唷！<br>告辞！
000s0101@s5o_10_1	下次再见面的话，还要跟我买唷！<br>告辞！
000s0101@s5o_20_1	呵呵，没错。<br>你的眼睛还真利。
000s0101@s5o_30_1	如何？<br>很赞吧？
000s0101@s5o_40	队伍从箱子里拿起一瓶药水。
000s0101@s5o_60_1	下次再见面的话，还要跟我买唷！<br>告辞！
000s0101@s6o_10_1	啊啊！！！<br>强盗，有强盗！！！
000s0101@s6o_30	商人朝着队伍扔出某个东西，然后慌张地逃跑了。
000s0101@s6o_40	队伍打开锁头坏掉的箱子，<br>拿走了几样有用的物品。
000s0101@sm_1	站在可疑箱子旁的杂货商人<br>声称正常营业，正在招揽客人。
000s0102@s1o_20	双手捧起从红色球体流出的液体，一口气喝了下去。
000s0102@s1o_30	炙热如灼烧般的疼痛逐渐消散，取而代之的是强烈的力量渗进伤口中。
000s0102@s1x_20	双手捧起从红色球体流出的液体，一口气喝了下去。
000s0102@s1x_30	炙热如灼烧般的疼痛越来越剧烈，<br>宛如要融化般的疼痛吞噬了身体。
000s0102@s2o_100	炙热的气流爆炸，将队伍包围住。
000s0102@s2o_20	双手捧起从红色球体流出的液体，一口气喝了下去。
000s0102@s2o_30	炙热如灼烧般的疼痛逐渐消散，取而代之的是强烈的力量渗进伤口中。
000s0102@s3o_20	从队伍造成的伤口中流出的鲜血混进了红色液体里。
000s0102@s3o_30	祭坛剧烈震动，祭坛的气息向四周扩散开来。
000s0102@s3o_60	祭坛剧烈震动，祭坛的气息向四周扩散开来。
000s0102@s6o_110	炙热的气流爆炸，将队伍包围住。
000s0102@s6o_20	集中全部力量，朝奇异祭坛上的球体猛力一击。
000s0102@s7o_20	从队伍造成的伤口中流出的鲜血混进了红色液体里。
000s0102@s7o_30	祭坛剧烈震动，祭坛的气息向四周扩散开来。
000s0102@s7o_60	队伍感到变化的气息，转身离开了祭坛。
000s0102@s8o_10	像是被灼烧般的手已经没有任何知觉。队伍将手收回并转身离开。
000s0102@sm_1	怪异的卡厄思祭坛<br>正在诱惑队伍。
000s0104-2@ent_10_1	咳呃……咳呃……<br>拜托……拜托请救救……我……
000s0104-2@ent_10_2	传送了……求救信号……<br>但……没有……任何人来……
000s0104-2@s1o_10	队伍迅速治疗了暗星船员。
000s0104-2@s1o_40_1	呃呃……<br>总算是……捡回一命……
000s0104-2@s1o_40_2	谢谢……
000s0104-2@s1o_50_1	这里是……暗星……<br>所抛弃的……仓库……
000s0104-2@s1o_50_2	虽然都是些旧东西……<br>全都……随你拿……
000s0104-2@s1o_60	队伍从积了灰尘的暗星补给品中<br>选了一个有用的物品。
000s0104-2@s1o_80_1	那么……我先走了……
000s0104-2@s1o_80_2	我……得寻找……<br>离开这糟糕透顶的行星的方法。
000s0104-2@s2o_20_1	真是……糟透了……
000s0104-2@s2o_20_2	比起……垂死之人的……性命……<br>那个……更……重要……
000s0104-2@s2o_40	随着呼吸声逐渐微弱，动作也完全停下来了。
000s0104-2@s2o_50	瞬间仿佛变得阴冷，队伍加快了脚步前进。
